id,name,name_alternative,location,parent_id,parent_name
1988-los-perros-sarnosos,Los Perros Sarnosos,"Escuela Pitbull Perros Sarnosos, Team Hector Iberico, La Perrera","Lima, Peru",,
1999-fortaleza,Fortaleza,"Fortaleza MMA, Team Fortaleza","Lima, Peru",,
2-csw-training-center,CSW Training Center,Combat Submission Wrestling,"Fullerton, California",,
201-grudge-tc,Genesis Training Academy,,"Arvada, Colorado",,
2036-mpr-endurance-mma,MPR Endurance MMA,,"Fairless Hills, Pennsylvania",,
2071-penta-gym,Penta Gym,"Penta Gym Prague, Penta Gym Praha","Prague, Czech Republic",,
2078-leontes-aspropurgou-draculino-team,Leontes Draculino Team,,"Aspropurgos, Attiki, Greece",,
2094-stallion-cage,Stallion Cage,Stallion Gym,"Stuttgart, Germany",,
210-american-top-team-cape-coral,American Top Team Cape Coral,ATT Cape Coral,"Cape Coral, Florida",,
2114-spartan-chorzw,Spartan Chorzów,Gracie Barra Chorzów,"Chorzów, Poland",,
2118-renyi,Renyi,,"Umeå, Sweden",,
212-sityotdong-boston,Sityodtong Boston,Team Sityodtong,"Somerville, Massachusetts",,
2141-muskoka-kickboxing,Muskoka Kickboxing,,"Bracebridge, Ontario, Canada",,
2156-10th-planet-jiu-jitsu-buena-park,10th Planet Jiu Jitsu Buena Park,,"Buena Park, California",228-10th-planet-jiu-jitsu,10th Planet Jiu Jitsu
2169-scorpion-fighting-systems,Scorpion Fighting System,Team SFS,"Brighton, Michigan",,
2187-team-ryano-mma,Team Ryano MMA,BJJ Revolution Team,"Dublin, Ireland",,
2189-hawaii-elite-mma,Hawaii Elite MMA,,Hawaii,,
2192-fighting-division-bydgoszcz,Fighting Division Bydgoszcz,Fighting Division Combat Club - MMA Bydgoszcz,"Bydgoszcz, Poland",,
2198-grappling-krakw,Grappling Kraków,,"Kraków, Poland",,
2207-the-dungeon-bjj,The Dungeon BJJ,,"Sunderland, United Kingdom",,
2214-yoshida-dojo,Yoshida Dojo,吉田道場,"Tokyo, Japan",,
2220-ps-lab-osaka-x-pancrase-inagakigumi,P's LAB Osaka x Pancrase Inagakigumi,P's LAB大阪 x パンクラス稲垣組,"Naniwa, Osaka, Japan",3667-ps-lab-tokyo,P's Lab Tokyo
2226-trench-tech,Trench Tech,TT,"Saipan, Northern Mariana Islands",,
2241-saeksons-muay-thai,Saekson's Muay Thai,,"Van Nuys, California",,
2243-sombra-team-mma,Sombra Team MMA,Sombra Team Rafael Ghilosso,"Porto Alegre, Rio Grande do Sul, Brazil",,
2247-astra-fight-team,Astra Fight Team,,"Balneario Camboriu, Santa Catarina, Brazil",,
225-cape-cod-fighting-alliance,Cape Cod Fighting Alliance,CCFA,"Wareham, Massachusetts",,
2250-sok-thai,Sok Thai,Liga Sok Thai,"Bage, Rio Grande do Sul, Brazil",,
2270-bkk-fighters,BKK Fighters,,"Colchester, Essex, England",,
2276-team-alpha-male-japan,Team Alpha Male Japan,TAMJ,"Moriguchi, Osaka, Japan",108-team-alpha-male,Team Alpha Male
228-10th-planet-jiu-jitsu,10th Planet Jiu Jitsu,,"Los Angeles, California",,
2280-mach-dojo,Mach Dojo,"マッハ道場, Mach Dojo Ibaraki, マッハ道場茨城","Ryugasaki, Ibaraki, Japan",,
230-4oz-fight-club,4oz. Fight Club,"4oz, four ounce, 4 ounce","Houston, Texas",,
231-american-combative-systems,American Combative Systems,"ACS, Team Tooke","LaMarque, Texas",,
2312-paraguay-combat-team,Paraguay Combat Team,Academia Paraguay Combat Team,Paraguay,,
2317-paran-vale-tudo,Paraná Vale Tudo,"PRVT, Parana Vale Tudo","Rio de Janeiro, Brazil",,
233-alliance-mma,Alliance MMA,"Alliance Training Center, Alliance Jiu Jitsu","Chula Vista, California",,
236-american-top-team-beaumont,American Top Team Beaumont,ATT Beaumont,"Beaumont, Texas",,
2363-lobo-gym,Lobo Gym MMA,,"Guadalajara, Jalisco, Mexico",,
2364-samurai-fight-center-mma,Samurai Fight Center MMA,,"Guadalajara, Jalisco, Mexico",,
237-arlington-mma,Arlington MMA,"Arlington Fight Team, The Gym","Arlington, Texas",,
2373-bonebreakers-mma,Bonebreakers MMA,Bonebreakers Central,"Mexico City, Mexico",,
238-bastos-bjj-midland,Bastos BJJ Midland,Bruno Bastos Jiu Jitsu,"Midland, Texas",,
239-bighead-mma,Bighead MMA,,"Lubbock, Texas",,
2395-pejor,Pejor,,"Rio de Janeiro, Rio de Janeiro, Brazil",,
2396-tata-fight-team,Tata Fight Team,TFT,"Rio de Janeiro, Rio de Janeiro, Brazil",,
2397-infight,Infight,Infight Jiu-Jitsu,"Rio de Janeiro, Rio de Janeiro, Brazil",,
2399-ats-team,ATS Team,,"Tres Rios, Rio de Janeiro, Brazil",,
240-brazilian-top-team,Brazilian Top Team,BTT,"Rio de Janeiro, Brazil",,
2401-tata-fight-team-montes-claros,Tata Fight Team Montes Claros,TFT Montes Claros,"Montes Claros, Minas Gerais, Brazil",2396-tata-fight-team,Tata Fight Team
2403-bh-rhinos,BH Rhinos,"Titi Jiu-Jitsu, Cristiano Titi Team","Belo Horizonte, Minas Gerais, Brazil",,
2404-war-machine-ct,War Machine CT,"Academia War Machine, War Machine MMA Team","Rio de Janeiro, Rio de Janeiro, Brazil",,
2425-muay-thai-medellin,Muay Thai Medellin,,"Medellin, Antioquia, Columbia",,
2426-invictus-mma,Invictus MMA,,"La Plata, Buenos Aires, Argentina",,
2427-octagon-mma,Octagon MMA,,"Bogota, Columbia",,
245-brazilian-top-team-texas,Brazilian Top Team Texas,BTT,"San Antonio, Texas",240-brazilian-top-team,Brazilian Top Team
2455-cquence-jiu-jitsu-norco,CQuence Jiu-Jitsu Norco,,"Norco, California",,
246-brazilian-top-team-canada,Brazilian Top Team Canada,BTT,"Montreal, Quebec, Canada",240-brazilian-top-team,Brazilian Top Team
2463-fuse-mma,Fuse MMA,,"Macomb, Michigan",,
247-bronxs-gold-team,Bronx's Gold Team,Gold Team,"Guaruja, Sao Paulo, Brazil",,
248-bronxs-gold-team-texas,Gold Team Texas,"Bronx's Gold Team Houston, Macaco Gold Team","Houston, Texas",247-bronxs-gold-team,Bronx's Gold Team
2513-bushido-academie,Bushido Academie,,"Avignon, France",,
252-k-taro-dojo,K-Taro Dojo,"Wajyutsu Keisyukai K-Taro Dojo, 和術慧舟會K太郎道場, K太郎道場","Higashioi, Shinagawa, Tokyo, Japan",1005-wajyutsu-keisyukai,Wajutsu Keishukai Tokyo
2520-montana-mixed-martial-arts,Montana Mixed Martial Arts,Montana MMA,"Bozeman, Montana",,
2521-potential-unlimited-mixed-martial-arts,Potential Unlimited Mixed Martial Arts,PUMMA,"Gold Coast, Queensland, Australia",,
253-master-japan,Master Japan,MASTER JAPAN,"Tokyo, Japan",,
2530-catalyst-mma,Catalyst Fight House,Catalyst Fight House,"Everett, Washington",,
2536-team-execution,Arnett's Team Execution,Lewiston Martial Arts Martial Arts America of Lewiston,"Lewiston, Idaho",,
2537-pete-white-boxing,Pete White Boxing & MMA,,"Port Orange, Florida",,
2539-aka-thailand,AKA Thailand,Amercian Kickboxing Academy Thailand,"Phuket, Thailand",63-american-kickboxing-academy,American Kickboxing Academy
254-yakima-mma,Yakima MMA,,"Yakima, Washington",,
2554-nova-forca,Nova Força Jiu-Jitsu,Nova Força UK,"Epsom, Surrey, England",,
2561-lakay-central-gym,Lakay Central Gym,"Team Lakay, Lakay MMA","Baguio City, Philippines",,
2566-ludus-mma,Ludus MMA,Ludus Martial Arts,"Jacksonville Beach, FL 32250",,
258-florian-martial-arts-center,Florian Martial Arts Center,FloMac,"Brookline, Massachusetts",,
259-brazos-valley-mma,Brazos Valley MMA,BVMMA,"College Station, Texas",,
2616-mob-training-center,MOB Training Center,"Team MOB, Mind Over Body Training Center","Seoul, South Korea",,
2618-pura-vida-bjjmma,Pura Vida BJJ/MMA,,"Milwaukee, Wisconsin",,
262-chop-shop-mma,Chop Shop MMA,,"Greenville, Texas",,
2624-taiwan-bjj-academy,Taiwan BJJ Academy,Taiwan Brazilian Jiu-Jitsu Academy Taipei Headquarter 台灣巴西柔術學院 - 台北本院,"Taipei, Taiwan",,
2631-titan-mma,Titan MMA,,"Coquitlam, British Columbia, Canada",,
2640-nostos-mma,Nostos MMA,Nostos Mixed Martial Arts,"Somersworth, New Hampshire",,
265-elite-mma-houston,Elite MMA Houston,,"Houston, Texas",,
266-fitness-fight-factory,Fitness Fight Factory,,"Colleyville, Texas",,
2677-nottingham-mma,Nottingham MMA,Nottingham Mixed Martial Arts,"Nottingham, England",,
268-full-contact-fight-academy,Full Contact Fight Academy,,"Corpus Christi, Texas",,
2682-m1-thai-boxing,M1 Thai Boxing,,"Woodbridge, Ontario, Canada",,
2698-gibson-mma,Gibson MMA,Gibson Kickboxing & Pankration,"Port Moody, British Columbia, Canada",,
2699-shaolin-muay-thai,Shaolin Muay Thai,,"Edmonton, Alberta, Canada",,
27-szkoa-walki-drwala,Szkoła Walki Drwala,SWD,"Kraków, Poland",,
270-gracie-barra-houston,Gracie Barra Houston,GB Texas,"Houston, Texas",271-gracie-barra,Gracie Barra
2709-havok-martial-arts,Havok Martial Arts,Team Havok,"Kelowna, British Columbia, Canada",,
271-gracie-barra,Gracie Barra,GB Irvine,"Irvine, California",,
272-gracie-barra-woodlands,Gracie Barra The Woodlands,GB Woodlands,"Spring, Texas",271-gracie-barra,Gracie Barra
2723-hanuman-gym-prague,Hanuman Gym Prague,,"Prague, Czech Republic",,
2738-striker-house,Striker's House,Strikers House,"Curitiba, Parana, Brazil",,
2755-veto-team-bielsko-biaa,Veto Team Bielsko-Biała,,"Bielsko-Biała, Poland",,
2778-xtreme-kombat-managua,Xtreme Kombat Academy,XKA,"Managua, Nicaragua",,
278-gracie-barra-belo-horizonte,Gracie Barra Belo Horizonte,"GB Belo Horizonte, Draculino Team","Belo Horizonte, Brazil",271-gracie-barra,Gracie Barra
2788-epic-mma,Epic MMA,,"Central District, Hong Kong",,
279-grapplers-lair,Grappler's Lair,Grapplers Lair,"Belton, Texas",,
2793-california-mixed-martial-arts,California Mixed Martial Arts,CMMA,"Gardena, California",,
28-berserkers-team,Berserker's Team,BTS,"Szczecin, Poland",,
2806-kbc-pbram,KBC Příbram,Centrum Bojových Sportů Příbram,"Příbram, Czech Republic",,
281-hard-head-hitters,Hard Head Hitters,,"Cleveland, Texas",,
2814-primus-fight-team,Primus Fight Team,,Finland,,
282-hoger-mma,Hoger MMA,,"Houston, Texas",,
2827-noc-fight-team,NOC Fight Team,NOC Fighter Management,"Orange County, California",,
284-south-shore-sportfighting,South Shore Sportfighting,South Shore Sportfighting & Fitness,"Rockland, Massachusetts",,
2844-salvation-mixed-martial-arts,Guerilla MMA,,"Abermale, North Carolina",,
2845-legion-fight-team,Legion Fight Team,Legion Fighting team,"Rostov-on-Don, Russia",,
2847-australian-top-team,Australian Top Team,ATT,"Wentworthville, Sydney, Australia",,
2852-sinosic-perosh-martial-arts,Team Perosh Mixed Martial Arts,,"Sydney, New South Wales, Australia",,
2857-renovao-fight-team,Renovação Fight Team,RFT,"Rio de Janeiro, Rio de Janeiro, Brazil",,
2869-sambo-piter,Sambo-Piter,"Самбо-Питер, СК МИР, SK Mir","St. Petersburg, Russia",,
2870-ratiborets,Ratiborets,"Club Ratiborets, Клуб Ратиборец","Yekaterinburg, Russia",,
288-triumph-brazilian-jiu-jitsu,Triumph Brazilian Jiu Jitsu,Triumph BJJ,"Nashua, New Hampshire",,
2881-academy-mma,Academy MMA,"MMA Academy, Академия ММА","Makhachkala, Russia",,
2882-boets,Fighter Gym,Boets SC,"Orenburg, Russia",,
289-tri-force-mma,Tri-Force MMA,,"Pawtucket, Rhode Island",,
29-american-top-team,American Top Team,ATT,"Coconut Creek, Florida",,
2907-fight-nights-team,Fight Nights Team,,"Moscow, Russia",,
291-team-link,Team Link,Link BJJ,"Ludlow, Massachusetts",,
2912-spike-22,Spike 22,,"Tamuning, Guam",,
2919-american-combat-club,American Combat Club,,"Orlando, Florida",,
2921-oleksiy-oliynyk-mma-school,Oleksiy Oliynyk MMA School,Школа ММА Алексея Олейника,"Moscow, Russia",,
2930-ultimate-training-centre,Ultimate Training Centre,UTC,"Birmingham, United Kingdom",,
2934-the-performance-compound,The Performance Compound,,"Saint Cloud, Minnesota",,
2937-renegade-combat-sports,One Combat Academy,Renegade Combat Sports & Fitness,"Sioux City, Iowa",,
2943-akhmat-fight-club,Akhmat Fight Club,RSK Ahmat,"Grozny, Russia",,
2944-dagfighter,DagFighter,"DagFighter Team, Dagestan Fighter","Makhachkala, Russia",,
2950-mixed-martial-team-kbjjs,Mixed Martial PRO Team,"Mixed Martial Team, Kick Boxing and Jiu Jitsu School in Memory of Fabio Fontanella",Lonato del Garda Italia,,
2952-fight-or-die,Fight or Die,"Fight or Die Abukar & Adam Yandiev, Yandiev Brothers","Moscow, Russia",,
2961-saigon-sports-club,Saigon Sports Club,SSC,"Saigon, Vietnam",,
2963-bangkok-fight-lab,Bangkok Fight Lab,,"Bangkok, Thailand",,
2968-city-kickboxing,City Kickboxing,,"Auckland, New Zealand",,
2970-countershot-kickboxing-academy,Countershot Kickboxing Academy,iFit Guam,"Tamuning, Guam",,
298-lions-den,Lion's Den,,"Reno, Nevada",,
299-lions-den-texas,Lion's Den Texas,Lion's Den Dallas,"Dallas, Texas",298-lions-den,Lion's Den
2999-unit-7-gym-atherton-submission-wrestling,Atherton Submission Wrestling,"ASW, Unit 7 Gym","Manchester, England",,
3004-spartakus-team-zakopane,Spartakus Team Zakopane,,"Zakopane, Poland",,
3007-renzo-gracie-philly,Renzo Gracie Philly,,"Philadelphia, Pennsylvania",322-renzo-gracie-academy,Renzo Gracie Academy
3010-san-diego-fight-club,San Diego Fight Club,SD Fight Club,"El Cajon, California",,
302-lutter-mma,Travis Lutter BJJ,"Team Lutter, Lutter MMA","Fort Worth, Texas",,
3022-kaizen-mma-fairfax,Kaizen MMA,Enshin Karate,"Falls Church, Virginia",,
3031-eric-nolans-xtreme-training-center,Eric Nolan's Xtreme Training Center,Bakersfield MMA,"Bakersfield, California",,
304-metro-fight-club,Metro Fight Club,Team Metro,"Houston, Texas",,
3043-atos-brazilian-jiu-jitsu,Atos Brazilian Jiu Jitsu,Andre Galvao BJJ,"San Diego, California",,
3045-fightlab,Fightlab,,"Phuket, Thailand",,
305-paradigm-training-center,Paradigm Training Center,Paradigm MMA,"Houston, Texas",,
3051-xian-sports-university,Xi'an Sports University,西安体育学院,"Xi'an, China",,
306-mohler-mma,Mohler MMA,"Mohler Jiu Jitsu, Team Mohler","Coppell, Texas",,
308-nicks-fight-club,Nick's Fight Club,Nearfall Wrestling,"Amarillo, Texas",,
3094-american-top-team-zagreb,American Top Team Zagreb,ATT Zagreb,"Zagreb, Croatia",29-american-top-team,American Top Team
31-blackzilians,Blackzilians Performance Institute,Jaco Hybrid Training Center,"Boca Raton, Florida",,
310-octagon-mma,Octagon MMA,,"Dallas, Texas",,
3102-roger-gracie-academy,Roger Gracie Academy BJJ,Roger Gracie Brazilian Jiu Jitsu,"London, England",,
3105-fightspirit-team,Fightspirit Team,,"Dagestan, Russia",,
311-ohana-jiu-jitsu,Ohana Jiu Jitsu,Ohana Academy,"San Antonio, Texas",,
3112-wca-fight-team,WCA Fight Team,Warszawskie Centrum Atletyki,"Warsaw, Poland",,
3114-gks-grnik-czna-mma,GKS Górnik Łęczna MMA,Underground Gold Team Łęczna,"Łęczna, Poland",,
312-paragon-brazilian-jiu-jitsu,Paragon Brazilian Jiu Jitsu,"Paragon MMA, Paragon BJJ","Santa Barbara, California",,
3129-leandro-loreno-brazilian-jiu-jitsu,Milestone Martial Arts,LLJJ Team,"Las Vegas, Nevada",,
3133-valle-flow-striking,VFS Academy,Valle Flow Striking,"Addison, Illinois",,
3137-china-top-team,China Top Team,"拳天下, Boxing World Club, CTT拳天下俱乐部","Beijing, China",,
314-phalanx-mma,Phalanx MMA,,"Fort Worth, Texas",,
3196-russia-top-team,Russia Top Team,,"Barnaul, Russia",,
322-renzo-gracie-academy,Renzo Gracie Academy,Renzo Gracie New York City,"New York, New York",,
3227-sanchez-bjj-and-fitness,Sanchez BJJ and Fitness,Eduardo Rene Sanchez Brazilian Jiu Jitsu,"Kahului, Hawaii",,
323-renzo-gracie-latham,Renzo Gracie Latham,Bruno Tostes BJJ,"Latham, New York",322-renzo-gracie-academy,Renzo Gracie Academy
3245-scottish-hit-squad,Scottish Hit Squad,SHS,Scotland,,
3246-dinky-ninja-fight-team,Dinky Ninja Fight Team,Dinky Ninjas DNFT,Scotland,,
3248-higher-level-martial-arts,Higher Level Martial Arts,,"Whitburn, Scotland",3246-dinky-ninja-fight-team,Dinky Ninja Fight Team
326-revolution-dojo,Revolution Dojo,"Revolution BJJ, Revolution Brazilian Jiu Jitsu","Katy, Texas",,
3261-fist-gym,F.I.S.T. Gym,Fist Gym,"Quezon City, Philippines",,
3263-next-generation-mma-liverpool,Next Generation MMA Liverpool,,"Liverpool, England",,
3266-team-rough-house-mma,Team Rough House MMA,,"Nottingham, England",,
3267-london-shootfighters,London Shootfighters,,"London, United Kingdom",,
328-rubicon-fight-sport,Rubicon Fight Sport,Rubicon FightSport,"Austin, Texas",,
329-saekson-janjira-muay-thai,Saekson Janjira Muay Thai,Team Saekson Janjira,"Plano, Texas",,
331-silverback-fight-club,Silverback Fight Club,"SFC, Silverback MMA","Houston, Texas",,
3320-atch-academy,Atch Academy,,"Paris, France",,
3322-all-powers-gym,Manchester Top Team,,"Stockport, England",,
3324-sbg-mainline,SBG Manchester,"SBG Mainline, Straight Blast Gym Manchester","Manchester, England",36-straight-blast-gym-ireland,SBG Ireland
3325-titan-fighter,Titan Fighter Gym,Team Titan,"London, England",,
333-team-takedown,Team Takedown,,"Mansfield, Texas",,
3330-team-crossface,Team Crossface,Crossface Training Center,"Watford, England",,
3339-absoluto-fighting-center,Absoluto Fighting Center,Absoluto Bucharesti,"Bucharest, Romania",,
3375-harris-holt-combat-sports,Harris Holt Combat Sports,,"Clarksville, Tennessee",,
3377-gorets,Gorets FT,Highlander SC,"Dagestan, Russia",,
3380-gracie-barra-katy,Gracie Barra Katy,,"Katy, Texas",271-gracie-barra,Gracie Barra
3435-chute-boxe-diego-lima,Chute Boxe Diego Lima,,"Sao Paulo, Brazil",9533-chute-boxe,Chute Boxe
3442-planet-eater,Planet Eater,Planet Eater Gym,"Balingen, Germany",,
3447-team-kiboju,Team KiBoJu,Kiboju Free Fight System,"Mannheim, Germany",,
3456-csa-moldova,CSA Moldova,Combat Sambo Association Moldova,"Chisinau, Moldova",,
3482-nova-unio-manaus,Nova União Manaus,Nova União Jiu-Jitsu Manaus,"Manaus, Amazonas, Brazil",53-nova-unio,Nova União
3494-wajutsu-keishukai-hearts,Wajutsu Keishukai HEARTS,和術慧舟會HEARTS,"Shibuya, Tokyo, Japan",1005-wajyutsu-keisyukai,Wajutsu Keishukai Tokyo
3507-sincaid-mma,Sincaid MMA,,"Clearwater, Florida",,
3508-10th-planet-jiu-jitsu-beaumont,10th Planet Jiu Jitsu Beaumont,,"Beaumont, Texas",,
3511-hung-mun-studio,Hung Mun,Hung Mun MMA Studio,"Rome, Italy",,
3512-international-house-of-muay-thai,The House of Muay Thai,,"Norfolk, Virgina",,
3521-rodeo-style,Rodeo Style,ロデオスタイル,"Yokosuka, Japan",,
3550-matt-larsens-combat-fitness-center,Matt Larsen's Combat Fitness Center,,"Springfield, Virginia",,
3569-alive,ALIVE,"アライブ, 総合格闘技道場ALIVE, ALIVE MMA Dojo","Nagoya, Aichi, Japan",,
3570-alliance-square,ALLIANCE,"ALLIANCE-SQUARE, FIGHT TEAM ALLIANCE","Akasaka, Minato, Tokyo",,
359-renzo-gracie-denville,Renzo Gracie Denville,Real World Mixed Martial Arts,"Denville, New Jersey",322-renzo-gracie-academy,Renzo Gracie Academy
3592-stabile-fight-team,Stabile Fight Team,,"Gessate, Milan, Italy",,
36-straight-blast-gym-ireland,SBG Ireland,Straight Blast Gym Ireland,"Dublin, Ireland",615-straight-blast-gym-international,SBGi Portland
360-renzo-gracie-pennsylvania,Renzo Gracie Pennsylvania,Team Renzo Gracie Hatfield PA,"Hatfield, Pennsylvania",322-renzo-gracie-academy,Renzo Gracie Academy
3602-tech-mma-fitness-academy,Tech MMA & FItness Academy,,"Christiansburg, Virginia",,
3605-purebred-omiya,Purebred Omiya,PUREBRED大宮,"Omiya, Saitama, Japan",,
3608-t-blood,T-BLOOD,T-Blood Mixed Martial Arts Academy,"Tsuchiura, Ibaraki, Japan",,
361-renzo-gracie-brooklyn,Renzo Gracie Brooklyn,Renzo Gracie Fight Academy BK,"Brooklyn, New York",,
3613-laughter7,Laughter7,ラフター７,"Shinagawa, Tokyo, Japan",,
3625-team-punisher-ulisses-cortez-fighting-system,Team Punisher,Ulisses Cortez Fighting System,"El Centro, California",,
3630-ludwig-martial-arts,Ludwig Martial Arts,Bang Muay Thai,"Westminster, Colorado",,
3642-hakushinkai-karate,Hakushinkai Karate,"空手道白心会, からてどうはくしんかい","Toyohashi, Aichi, Japan",,
3645-wajyutsu-keisyukai-suruga,Wajutsu Keishukai Suruga Dojo,和術慧舟會 駿河道場,"Numazu, Shizuoka, Japan",1005-wajyutsu-keisyukai,Wajutsu Keishukai Tokyo
3647-mma-trondheim,MMA Trondheim,,"Trondheim, Norway",,
365-carlos-neto-bjj,617 Fight Sports,CN Brazilian Jiu Jitsu 617 BJJ,"Somerville, Massachusetts",,
3657-shooting-gym-hakkei,Shooting Gym Hakkei,シューティングジム八景,"Yokohama, Kanagawa, Japan",3595-shooto,Japan Shooto Association
3666-kharkov-top-team,Kharkov Top Team,,"Kharkov, Ukraine",,
3668-pancraseism,PANCRASEism,パンクラスism,Japan,,
367-central-new-york-mma,Central New York MMA,CNYMMA,"Watertown, New York",366-premier-martial-arts-watertown,Premier Martial Arts Watertown
3683-kugayama-rascal-gym,Kugayama Rascal Gym,久我山ラスカルジム,"Suginami, Tokyo, Japan",,
369-broadway-jiu-jitsu,Broadway Jiu Jitsu,"Team Carlson Gracie, Broadway BJJ and Fitness","Boston, Massachusetts",,
3699-akimoto-dojo-jungle-junction,Akimoto Dojo jungle junction,秋本道場jungle junction,"Sagamihara, Kanagawa, Japan",,
3708-valon-team,Valon Team,,"Brussels, Belgium",,
372-h2o-mma,H2O MMA,Academie D'arts Martiaux H2O,"Montreal, Quebec, Canada",,
3736-neo-judo-academy-omigawa-dojo,Neo Judo Academy Omigawa Dojo,"NEO JUDO ACADEMY 小見川道場, 柔道 NEO JUDO 小見川道場（横浜青葉台）","Yokohama, Kanagawa, Japan",,
3743-srgio-penha-brazilian-jiu-jitsu,Sérgio Penha Brazilian Jiu-Jitsu Academy,,"Las Vegas, Nevada",,
376-speedy-gym,Speedy Gym,,"Granby, Quebec, Canada",,
3760-ed-lutas-team-impacto-jiu-jitsu,Ed Lutas Team,Impacto Jiu-Jitsu,"Indaiatuba, São Paulo, Brasil",,
3778-khk-team,KHK MMA Team,,"Manama, Bahrain",,
3798-team-ferreira,Team Ferreira,,"Pharr, Texas",,
380-canadian-martial-arts-centre,Canadian Martial Arts Centre,"CMC MMA, Canadian Martial Arts Center","Lethbridge, Alberta, Canada",,
3801-spartan-fitness-mma,Spartan Fitness MMA,,"Birmingham, Alabama",,
