id,name,latitude,longitude,elevation_meters,capacity
1,McNichols Sports Arena,39.74277777777778,-105.0225,1592.0,16000
2,Mammoth Gardens,39.74055555555556,-104.97715555555556,1610.0,3900
3,Grady Cole Center,35.2182,-80.8283,198.5,3000
4,Expo Square Pavilion,36.13666666666666,-95.93277777777779,246.0,6311
5,Bojangles Coliseum,35.20516388888889,-80.79510277777777,203.0,9605
6,Casper Events Center,42.868274,-106.33284,1614.1,9700
7,Buffalo Memorial Auditorium,42.878055555555555,-78.8775,179.0,18000
8,Coliseo Rubén Rodríguez,18.39495833333333,-66.15083333333334,13.0,12000
9,Cobo Arena,42.32611111111112,-83.04694444444445,179.0,12000
10,Fair Park Arena,33.495,-86.874,166.0,5000
11,Augusta Civic Center,33.47,-81.96638888888889,41.0,9167
12,Dothan Civic Center,31.22472222222222,-85.39,98.0,3100
13,Boutwell Memorial Auditorium,33.52159,-86.81101,182.3,5000
14,Casino Magic Bay St. Louis,30.335277777777776,-89.35444444444444,2.0,918
15,Yokohama Arena,35.512388888888886,139.62005555555555,27.7,17000
16,Pontchartrain Center,30.039166666666667,-90.23972222222223,0.0,3700
17,Mobile Civic Center,30.68605,-88.04478,5.0,10112
18,Ginásio da Portuguesa,-23.520133,-46.620289,731.9,8500
19,Five Seasons Events Center,41.980219444444444,-91.66744166666668,223.6,9000
20,Lake Charles Civic Center,30.22833333333333,-93.22111111111111,3.0,7450
21,Tokyo Bay NK Hall,35.62675,139.87524444444446,5.0,7000
22,Yoyogi National Gymnasium,35.6675,139.70030555555553,48.5,12898
23,Lakefront Arena,30.029999999999998,-90.05055555555555,1.0,8933
24,Etess Arena at Trump Taj Mahal,39.35865277777778,-74.41977777777778,2.1,5200
25,Differ Ariake Arena,35.638733333333334,139.78922777777777,6.5,1246
26,Meadowlands Arena,40.81166666666666,-74.0675,3.0,20000
27,Mandalay Bay Events Center,36.09067777777778,-115.17898055555555,662.2,12000
28,MGM Grand Garden Arena,36.10480833333334,-115.1686138888889,644.0,17000
29,Mohegan Sun Arena,41.49111111111111,-72.08972222222222,7.0,10000
30,CenturyTel Center,32.46516666666667,-93.67358333333334,50.0,14000
31,Bellagio,36.113055555555555,-115.1763888888889,647.0,4785
32,Royal Albert Hall,51.50111111111111,-0.1775,31.0,5272
33,Boardwalk Hall,39.355000000000004,-74.43861111111111,1.0,10500
34,Kaseya Center,25.781388888888888,-80.18805555555556,2.0,20021
35,Thomas & Mack Center,36.105000000000004,-115.14416666666668,620.0,18645
36,Cox Pavilion,36.10416666666667,-115.14305555555556,620.0,3286
37,Hard Rock Hotel and Casino,36.10861111111111,-115.15361111111112,627.0,4000
38,Honda Center,33.80777777777777,-117.87666666666667,51.0,18900
39,Crypto.com Arena,34.043055555555554,-118.26722222222222,73.0,21000
40,Red Rock Resort Spa and Casino,36.154444444444444,-115.33027777777778,921.0,2300
41,Seminole Hard Rock Hotel and Casino,26.051318,-80.210034,2.0,5500
42,ARCO Arena,38.649166666666666,-121.51805555555555,10.0,17317
43,Marine Corps Air Station Miramar,32.867777777777775,-117.14166666666668,137.0,3000
44,Nationwide Arena,39.96928333333334,-83.00611111111111,223.4,20000
45,Palms Casino Resort,36.114444444444445,-115.19500000000001,666.0,2400
46,Toyota Center,29.750833333333333,-95.36222222222221,14.0,19300
47,AO Arena,53.488055555555555,-2.243888888888889,45.0,21000
48,The SSE Arena,54.60416666666667,-5.915,16.0,11058
49,The O2 Arena,51.5029,0.0032,22.6,20000
50,U.S. Bank Arena,39.09777777777778,-84.50444444444445,149.0,17556
51,Prudential Center,40.73361111111111,-74.17111111111112,10.0,19500
52,Metro Radio Arena,54.96388888888889,-1.6233333333333333,32.0,11000
53,1stBank Center,39.904527,-105.085334,1649.0,6500
54,Bell Centre,45.49611111111111,-73.56944444444444,30.0,23152
55,Target Center,44.97944444444445,-93.2761111111111,258.0,20500
56,State Farm Arena,33.757222222222225,-84.3963888888889,312.0,21000
57,Omaha Civic Auditorium,41.26166666666666,-95.94,320.0,10960
58,National Indoor Arena,52.47972222222222,-1.9149999999999998,149.0,15800
59,Allstate Arena,42.00527777777778,-87.88777777777779,196.0,22000
60,Crown Coliseum,35.015124,-78.891714,60.4,10000
61,3Arena,53.347500000000004,-6.228611111111111,12.0,13000
62,USF Sun Dome,28.05923611111111,-82.40647222222223,19.5,10500
63,Bridgestone Arena,36.159166666666664,-86.7786111111111,137.0,19891
64,Lanxess Arena,50.93849722222222,6.982952777777778,67.6,20000
65,Wells Fargo Center,39.901111111111106,-75.17194444444445,7.0,21000
66,Moda Center,45.531666666666666,-122.66666666666667,28.0,20500
67,Cox Convention Center,35.46527777777778,-97.51444444444445,365.0,15634
68,American Airlines Center,32.79055555555556,-96.81027777777777,125.0,21000
69,FedExForum,35.138333333333335,-90.05055555555555,74.0,19000
70,EagleBank Arena,38.827,-77.31,126.0,15000
71,Qudos Bank Arena,-33.85,151.06666666666666,20.0,21032
72,"Concert Arena, Yas Island",24.5,54.6,3.0,11000
73,Rogers Arena,49.27777777777778,-123.10888888888888,9.0,19000
74,Pechanga Arena,32.75527777777778,-117.21222222222222,7.0,16100
75,Oracle Arena,37.750277777777775,-122.20305555555557,6.0,19596
76,TD Garden,42.366302777777776,-71.06222777777778,2.4,20000
77,Frank Erwin Center,30.277,-97.7322,161.3,17900
78,Conseco Fieldhouse,39.763888888888886,-86.15555555555557,215.0,19000
79,Rudolf Weber-Arena,51.49,6.871944444444445,44.0,12650
80,The Palace of Auburn Hills,42.69694444444444,-83.24555555555555,294.0,23000
81,Fort Hood,31.139722222222222,-97.76583333333333,287.0,3200
82,KFC Yum! Center,38.2575,-85.7538888888889,134.0,22090
83,Climate Pledge Arena,47.622,-122.354,35.0,17200
84,Rogers Centre,43.64138888888889,-79.38916666666667,86.0,55000
85,PPG Paints Arena,40.43944444444444,-79.98916666666666,245.0,19758
86,BMO Harris Bradley Center,43.04361111111111,-87.91694444444445,181.0,20000
87,Farmasi Arena,-22.975277777777777,-43.390277777777776,5.0,15430
88,Ernest N. Morial Convention Center,29.939651,-90.062871,4.0,6030
89,Ball Arena,39.74861111111111,-105.0075,1582.0,18000
90,Capital One Arena,38.89805555555556,-77.02083333333333,14.0,20356
91,LG Arena,52.45333333333333,-1.7194444444444446,106.0,15685
92,SAP Center,37.33277777777778,-121.90111111111112,27.0,19190
93,Scotiabank Arena,43.64333333333333,-79.37916666666666,80.0,19800
94,United Center,41.88055555555555,-87.67416666666666,181.0,23500
95,Saitama Super Arena,35.894888888888886,139.63083055555558,38.7,22500
96,Avicii Arena,59.29355555555556,18.083236111111113,61.1,16000
97,Amerant Bank Arena,26.15833333333333,-80.32555555555555,6.0,22457
98,Revel Casino Hotel,39.36175,-74.41349722222223,2.5,5500
99,Mineirinho Arena,-19.861944444444447,-43.972500000000004,854.0,25000
100,Scotiabank Saddledome,51.0375,-114.05194444444444,1057.0,19289
101,Motorpoint Arena,52.95277777777778,-1.1394444444444445,44.9,10000
102,Cotai Arena,22.1477,113.559,-0.7,15000
103,Gold Coast Convention and Exhibition Centre,-28.02861111111111,153.4286111111111,2.0,6000
104,Ginásio do Ibirapuera,-23.577721,-46.656048,772.5,10200
105,Wembley Arena,51.558055555555555,-0.28305555555555556,50.0,12500
106,Arena Jaraguá,-26.490000000000002,-49.094722222222224,66.0,8000
107,Ginásio Paulo Sarasate,-3.7375,-38.515278,44.0,10000
108,Canada Life Centre,49.89277777777778,-97.14361111111111,226.0,16345
109,Bankers Life Fieldhouse,39.763888888888886,-86.15555555555557,215.0,19000
110,Ginásio José Corrêa,-23.50722222222222,-46.8675,718.0,5000
111,Fort Campbell,36.65,-87.46666666666667,165.0,4400
112,Goiânia Arena,-16.697777777777777,-49.23222222222223,817.0,15000
113,Brisbane Entertainment Centre,-27.342222222222222,153.0711111111111,12.0,13601
114,Marina Bay Sands,1.2826499999999998,103.85841666666666,11.5,8000
115,Arena at Gwinnett Center,33.99138888888889,-84.09416666666667,302.0,13100
116,Ginásio Nélio Dias,-5.733294444444445,-35.253838888888886,39.4,10000
117,du Arena,24.48434061111111,54.606045305555554,0.8,40000
118,Colisée Pepsi,46.83083333333334,-71.24638888888889,19.9,15176
119,Kia Center,28.539166666666667,-81.38361111111112,32.0,20000
120,Baltimore Arena,39.28861111111111,-76.61888888888888,15.0,14000
121,Uber Arena,52.50555555555555,13.443333333333333,34.0,17000
122,Tingley Coliseum,35.082413888888894,-106.57242777777778,1615.3,11571
123,Spark Arena,-36.8471738,174.7769451,6.0,12000
124,Frost Bank Center,29.426944444444445,-98.4375,186.0,19000
125,Cross Insurance Center,44.7893,-68.7787,17.6,8500
126,BOK Center,36.15272222222222,-95.99633333333334,209.4,19199
127,Foxwoods Resort Casino,41.473888888888894,-71.95805555555556,66.0,4000
128,Ginásio Nilson Nelson,-15.783055555555555,-47.903055555555554,1156.9,11105
129,Scotiabank Centre,44.64833333333333,-63.57666666666667,44.0,10500
130,Ginásio do Maracanãzinho,-22.91391111111111,-43.22933333333334,16.1,11800
131,Ginásio Municipal Tancredo Neves,-18.913333,-48.230556,902.0,8000
132,Arena Ciudad de México,19.496309,-99.175429,2248.4,22300
133,Footprint Center,33.44583333333333,-112.07138888888889,331.0,17716
134,Tele2 Arena,59.29081,18.08534,43.9,30000
135,Ginásio Gigantinho,-30.064444444444444,-51.23416666666667,13.9,14586
136,Tauron Arena Kraków,50.06747222222223,19.991694444444445,196.1,22000
137,Adelaide Entertainment Centre,-34.9079854,138.5737253,28.1,11300
138,Mall of Asia Arena,14.531944444444443,120.98361111111112,1.0,20000
139,Smoothie King Center,29.948888888888888,-90.08194444444445,1.0,18500
140,The SSE Hydro,55.860297,-4.284926,5.7,14500
141,SaskTel Centre,52.189,-106.679,505.6,15100
142,Marvel Stadium,-37.81638888888889,144.9475,22.0,56347
143,Arena Monterrey,25.68084166666667,-100.28823333333334,536.5,17599
144,Olympic Gymnastics Arena,37.51916,127.127514,31.9,15000
145,The Chelsea at The Cosmopolitan,36.11,-115.1753,647.0,3200
146,Arena Zagreb,45.77166666666667,15.942833333333333,114.2,23000
147,Amalie Arena,27.942777777777778,-82.45194444444445,5.0,21500
148,Rotterdam Ahoy,51.882777777777775,4.4880555555555555,-2.0,16426
149,Arena da Baixada,-25.448333333333334,-49.276944444444446,916.9,42372
150,The Forum,33.958333333333336,-118.34166666666667,45.0,17500
151,TD Place Arena,45.39888611111111,-75.68412222222223,71.8,9500
152,T-Mobile Arena,36.10277777777778,-115.17833333333334,653.0,20000
153,Denny Sanford Premier Center,43.56166666666666,-96.75,434.0,13000
154,Delta Center,40.76833333333333,-111.90111111111112,1300.0,20000
155,Barclaycard Arena,53.58916666666667,9.899166666666666,16.0,16000
156,Quicken Loans Arena,41.49638888888889,-81.68805555555556,204.0,19432
157,Madison Square Garden,40.75055555555556,-73.99361111111111,11.0,20789
158,Rod Laver Arena,-37.82166666666667,144.97833333333332,18.0,14820
159,Times Union Center,42.64861111111111,-73.75472222222223,14.0,17500
160,Golden 1 Center,38.58036111111112,-121.49961111111111,7.1,19000
161,Barclays Center,40.682661,-73.975225,14.1,16000
162,Centro de Formação Olímpica do Nordeste,-3.805188,-38.524362,32.4,17100
163,KeyBank Center,42.875,-78.87638888888888,179.0,19200
164,T-Mobile Center,39.097500000000004,-94.58027777777778,259.0,19252
165,Singapore Indoor Stadium,1.3006944444444446,103.87422222222222,30.6,12000
166,Chesapeake Energy Arena,35.46333333333334,-97.515,365.0,16757
167,Nassau Veterans Memorial Coliseum,40.72277777777778,-73.59055555555555,25.0,15000
168,Rogers Place,53.54694444444444,-113.49777777777778,663.0,20734
169,Ergo Arena,54.42583333333333,18.580277777777777,2.0,15000
170,Chartway Arena,36.884169444444446,-76.30123055555555,3.0,9520
171,Mercedes-Benz Arena,31.191291,121.489391,8.4,18000
172,Park Theater,36.1047,-115.1762,650.0,6400
173,Little Caesars Arena,42.34111111111111,-83.05499999999999,186.0,22000
174,Save Mart Center,36.809722,-119.738611,104.0,16182
175,Enterprise Center,38.626666666666665,-90.2025,144.0,22000
176,Spectrum Center,35.225,-80.83916666666666,221.0,20200
177,Arena Guilherme Paraense,-1.45583,-48.50444,16.0,11970
178,Perth Arena,-31.9483,115.8519,22.7,15500
179,Gila River Arena,33.53194444444444,-112.2611111111111,323.0,19000
180,Movistar Arena,-33.46277777777778,-70.66194444444444,557.9,17000
181,Echo Arena,53.39666666666667,-2.9909583333333334,7.0,11000
182,Adirondack Bank Center,43.104982,-75.233492,129.0,5700
183,CenturyLink Arena,43.614,-116.204,822.6,6400
184,Pinnacle Bank Arena,40.81777777777778,-96.71333333333334,351.0,16130
185,Olimpiyskiy Stadium,55.78111111111111,37.62638888888889,164.0,35000
186,Avenir Centre,46.0855005,-64.7849229,15.1,8800
187,Estadio Mary Terán de Weiss,-34.67722222222222,-58.44611111111111,14.0,15500
188,Cadillac Arena,39.9099889,116.274664,62.0,19000
189,Fiserv Forum,43.045027777777776,-87.91816666666666,182.4,18000
190,O2 Arena,50.10476111111111,14.49349722222222,210.7,20000
191,Intrust Bank Arena,37.683055555555555,-97.33138888888888,395.0,15750
192,Yubileyny Sports Palace,59.95027777777778,30.291944444444447,11.0,7044
193,Canadian Tire Centre,45.29694444444444,-75.92722222222223,122.8,18655
194,Blue Cross Arena,43.15369444444444,-77.61077777777777,149.5,14000
195,Bon Secours Wellness Arena,34.852789,-82.391458,294.5,16000
196,Antel Arena,-34.862844,-56.153611,35.6,15000
197,Shenzhen Universiade Sports Centre,22.69713888888889,114.21219444444445,52.2,18000
198,Royal Arena,55.624,12.574,-0.8,17000
199,CSKA Arena,55.7014,37.6449,135.6,14000
200,Sajik Arena,35.19231944444444,129.06053055555557,49.7,14099
201,PNC Arena,35.80333333333333,-78.72194444444445,132.0,21000
202,Santa Ana Star Center,35.310291666666664,-106.68582777777779,1708.0,7500
203,VyStar Veterans Memorial Arena,30.325769444444443,-81.64506944444445,5.0,15000
204,UFC Apex,36.068000000000005,-115.22800000000001,733.8,1000
205,du Forum,24.48434061111111,54.606045305555554,0.8,4500
206,Etihad Arena,24.4603,54.604,7.0,18000
207,Moody Center,30.28097222222222,-97.73047222222222,170.9,16223
208,UBS Arena,40.71179,-73.72604,23.0,19000
209,Accor Arena,48.83861111111111,2.3786111111111112,59.0,20300
210,The Theater at Virgin Hotels,36.110498,-115.154027,626.0,4500
211,Kingdom Arena,24.77861111111111,46.60583333333334,663.0,30000
212,Co-op Live,53.48638888888889,-2.199722222222222,60.0,23500
213,Sphere,36.120555555555555,-115.1613888888889,632.0,20000
214,Galaxy Arena,22.149722222222223,113.55277777777778,1.0,16000
