id,name,nickname
2526,Thiago Santos,Marreta
2554,Jared Rosholt,The Big Show
2556,Erick Silva,The Tiger
2558,Craig White,The Thundercat
2562,Cathal Pendred,The Punisher
2567,Ramsey Nijem,Nasty
2568,Tony Ferguson,El Cucuy
2571,Clay Harvison,Heavy Metal
2573,Elvis Mutapčić,The King
2576,Steve Garcia,Mean Machine
2579,Jordan Mein,Young Gun
2581,Antonio Carvalho,Pato
2585,Roland Delorme,Stunning
2588,Alex Ricci,
2592,Adlan Amagov,Borz
2593,Ronald Stallings,The Choir Boy
2594,Derek Brunson,The One
2597,Yuri Villefort,
2599,Trevor Smith,Hot Sauce
2601,Nah-shon Burrell,The Rock-n-Rolla
2604,Ryan LaFlare,
2605,Ronny Markes,
2606,Josh Samman,Anqa
2610,Derrick Lewis,The Black Beast
2611,Costas Philippou,
2626,Donny Walker,Eagle Eye
2627,Jeff Hougland,Hellbound
2628,Ilir Latifi,The Sledgehammer
2629,Jeremy Kimball,Grizzly
2633,Charles Byrd,Kid Dynamite
2635,Matt Hobar,The Crowbar
2642,Mairbek Taisumov,Beckan
2651,Erik Perez,Goyito
2674,Felipe Arantes,Sertanejo
2677,Chris Saunders,The So Cal Kid
2692,Johnny Eduardo,Pretinho
2693,Alexis Davis,Ally-Gator
2698,Papy Abedi,Makambo
2702,Lance Benoist,
2703,Mike Easton,The Hulk
2704,Sara McMann,
2705,Jimy Hettes,The Kid
2713,Luis Ramos,Beição
2727,Alex Morono,The Great White
2741,Ronda Rousey,Rowdy
2745,Cezar Ferreira,Mutante
2753,Sean Spencer,Black Magik
2755,Jack Marshman,Hammer
2765,Tom Breese,
2778,Yoel Romero,Soldier of God
2779,Marcos Rogério de Lima,Pezão
2784,Norman Parke,Stormin
2786,Paddy Holohan,The Hooligan
2807,Yan Cabral,
2817,Jessica Eye,Evil
2825,Leandro Issa,Brodinho
2834,Dominique Steele,Nonstop Action-Packed
2845,Eddie Yagin,The Filipino Phenom
2869,Matt Lucas,Luke Duke
2870,Clifford Starks,Big Cat
2887,Francis Carmont,Limitless
2894,Neil Seery,2 Tap
2895,Chris Spang,The Kiss
2906,Dan Spohn,Dragon
2912,John Maguire,The One
2923,Matt Van Buren,Gutter
2925,Justin Frazier,The Grizzly Bear
2934,Byron Bloodworth,
2939,Dustin Jacoby,The Hanyak
2955,Mitch Clarke,Danger Zone
2958,Mike Rio,The Wolverine
2960,Yoislandy Izquierdo,Cuba
2971,Jared Gordon,Flash
2978,Brian Kelleher,Boom
2985,Maxim Grishin,Maximus
2990,Phil De Fries,
2995,Walt Harris,The Big Ticket
3002,Vaughan Lee,
3013,Alex Soto,Extremo
3020,Albert Duraev,Machete
3050,Khabib Nurmagomedov,The Eagle
3051,Dennis Bermudez,The Menace
3052,Diego Brandão,DB
3053,T.J. Dillashaw,
3058,Michael Kuiper,Judo
3063,Louis Gaudinot,Goodnight
3064,Marcus Brimage,The Bama Beast
3065,Stephen Bass,Bigfish
3066,Dustin Pague,The Disciple
3067,John Albert,Prince
3068,Josh Ferguson,Taz
3069,Josh Clopton,The Gentleman
3070,Steven Siler,Super
3074,Jimi Manuwa,Poster Boy
3075,Yasuhiro Urushitani,
3076,Ednaldo Oliveira,Lula
3077,Eddie Mendez,
3081,Caio Magalhães,Hellboy
3084,Mitch Gagnon,The Machine
3086,Oli Thompson,The Spartan
3087,Besam Yousef,
3088,Simeon Thoresen,The Grin
3090,Max Holloway,Blessed
3091,Chris Clements,The Menace
3092,Stephen Thompson,Wonderboy
3093,Tommy Hayden,Wildcard
3094,Jared Papazian,Jackhammer
3095,Pat Schilling,Thrilling
3096,Anton Kuivanen,
3097,Justin Salas,J-Bomb
3098,Bernardo Magalhães,Trekko
3099,Dan Stittgen,The Anvil
3100,Patrick Cummins,Durkin
3110,Mats Nilsson,
3113,Benny Alloway,Blanco
3124,John Lineker,Hands of Stone
3125,Tim Means,The Dirty Bird
3127,Anthony Hamilton,Freight Train
3129,Heather Clark,Hurricane
3132,Scott Holtzman,Hot Sauce
3145,Issei Tamura,
3147,Conor McGregor,The Notorious
3160,Gunnar Nelson,Gunni
3162,Ross Pointon,The Gladiator
3173,Joe Ellenberger,Excalibur
3176,Mirsad Bektić,
3178,Bruno Santos,Carioca
3191,Azamat Gashimov,Tough Guy
3193,Derrick Krantz,D-Rock
3197,Stevie Ray,Braveheart
3198,Jennifer Maia,
3210,Colin Fletcher,The Freakshow
3214,Mark Godbeer,The Hand of
3216,Luke Barnatt,The Bigslow
3221,Al Iaquinta,Raging
3222,Myles Jury,Fury
3227,Matt Bessette,The Mangler
3228,Parker Porter,
3231,CJ Keith,
3232,Jeremy Larsen,
3233,Michael Chiesa,Maverick
3234,Chris Barnett,Beastboy
3248,Marlon Moraes,Magic
3262,Nordine Taleb,
3263,Elias Theodorou,The Spartan
3267,Chad Laprise,The Disciple
3269,Tom DeBlass,
3272,Bubba Bush,The Fighting Texas Aggie
3276,Joe Proctor,
3277,Chris Tickle,BadBoy
3283,John Cofer,The Potter
3284,Vinc Pichel,From Hell
3288,Tim Elliott,
3289,Sam Sicilia,
3291,Marcus LeVesseur,The Prospect
3308,Andy Ogle,The Little Axe
3313,Jim Alers,The Beast
3315,Hacran Dias,Barnabe
3316,James Vick,The Texecutioner
3337,Paul Redmond,Redser
3340,Jake Lindsey,The Librarian
3341,Jordan Johnson,Big Swingin'
3344,Joey Gambino,The Raging Warrior
3348,Barb Honchak,Little Warrior
3353,Raquel Pennington,Rocky
3354,Sarah Moras,Cheesecake
3355,Jessamyn Duke,The Gun
3357,Jocelyn Jones-Lybarger,Lights Out
3360,Brock Jardine,The Machine
3361,Wagner Prado,Caldeirão
3363,Ike Villanueva,Hurricane
3364,Robert Drysdale,
3370,Philipe Lins,Monstro
3380,Roldan Sangcha-an,The Executioner
3381,Akira Corassani,
3398,Marcelo Guimarães,Magrão
3400,Danny Roberts,Hot Chocolate
3402,Hugo Viana,Wolverine
3403,John Teixeira,Macapá
3404,Godofredo Pepey,
3405,Rony Jason,
3413,Nate Landwehr,The Train
3417,Anistavio Medeiros,Gasparzinho
3419,Leonardo Mafra,Macarrão
3421,Marcos Vinicius,Vina
3422,Wagner Campos,Galeto
3424,Allan Nascimento,Puro Osso
3464,Ricky Rainey,The Sniper
3472,Abel Trujillo,Killa
3486,Francisco Trinaldo,Massaranduba
3487,Renee Forte,
3489,Justin Ledet,El Blanco
3492,Matt Schnell,Danger
3495,Charlie Ontiveros,The American Bad Boy
3502,Ryan Spann,Superman
3503,Isaac Vallie-Flagg,
3526,Joby Sanchez,
3540,Artem Lobov,The Russian Hammer
3542,Guto Inocente,
3544,Josh Sampo,The Gremlin
3549,Cat Zingano,Alpha
3554,Joanne Wood,JoJo
3557,Tecia Pennington,The Tiny Tornado
3558,Sean Soriano,
3559,Jake Collier,The Prototype
3560,Thomas Gifford,The Young Lion
3564,Jon Tuck,Super Saiyan
3565,Hyun Gyu Lim,The Ace
3601,José Medina,Chicho
3609,Ricky Glenn,The Gladiator
3615,Rustam Khabilov,Tiger
3617,Kyle Prepolec,Killshot
3628,Gerald Meerschaert,GM3
3630,Malcolm Gordon,X
3633,Kyle Nelson,The Monster
3647,Sergio Pettis,The Phenom
3648,Chris Holdsworth,Hold it Down
3652,Gregor Gillespie,The Gift
3667,Brett Johns,The Pikey
3703,Motonobu Tezuka,
3705,Thiago Perpétuo,Bodão
3706,Jesse Ronson,The Body Snatcher
3719,Thomas Almeida,Thominhas
3723,Domingo Pilarte,Son Of Fire
3736,Jason Saggo,
3739,Des Green,The Predator
3745,Karolina Kowalkiewicz,
3747,Jordan Rinaldi,All Day
3750,Pedro Munhoz,The Young Punisher
3760,Brad Scott,Bear
3761,Robert Whittaker,The Reaper
3762,Brendan Loughnane,
3763,Mike Wilkinson,The Warrior
3766,Scott Askham,
3774,Colton Smith,
3775,Yaotzin Meza,
3777,Belal Muhammad,Remember the Name
3787,Will Brooks,Ill
3792,Cláudia Gadelha,Claudinha
3795,Bec Rawlings,Rowdy
3801,Jodie Esquibel,
3802,Emily Kagan,
3803,Rose Namajunas,Thug
3804,Paige VanZant,12 Gauge
3805,Nandor Guelmino,The Hun
3806,Jon Manley,
3807,Neil Magny,Haitian Sensation
3814,Kurt Holobaugh,The Hurt
3816,Lucas Martins,Mineiro
3818,Kazuki Tokudome,
3819,Pedro Nobre,The Rock
3820,Ildemar Alcântara,Marajó
3821,Dustin Kimura,The Diamond
3828,Damon Jackson,The Leech
3833,Ray Rodriguez,The Judge
3838,Daniel Jolly,The Werewolf of Texas
3864,Chris Fishgold,
3875,Sultan Aliev,
3878,Nicolas Dalby,Danish Dynamite
3880,Joachim Christensen,
3889,Pearl Gonzalez,The Chi-Town Princess
3908,Holly Holm,The Preacher's Daughter
3937,Michael Page,Venom
3944,Michelle Waterson-Gomez,The Karate Hottie
3959,Lauren Murphy,Lucky
3964,Justin Gaethje,The Highlight
3969,Brandon Thatch,Rukus
3974,Chris Wade,The Long Island Killer
3977,Oliver Enkamp,
3986,Abu Azaitar,Captain Morocco
3999,Mike Rhodes,Biggie
4006,Adam Cella,El Natural
4014,Augusto Sakai,
4041,Roger Narvaez,The Silverback
4042,Elias Garcia,El Pescador
4061,Kelvin Gastelum,
4063,Gilbert Smith,Midnight Magic
4064,Bubba McDaniel,The Menace
4065,Dylan Andrews,The Villain
4066,Jimmy Quinlan,Crash
4067,Clint Hester,Headbussa
4074,Davey Grant,Dangerous
4076,Brianna Fortino,The Bull
4087,Mike King,
4104,Emil Weber Meek,Valhalla
4108,Christian Colombo,Godzilla
4114,Iliarde Santos,
4115,Michel Prazeres,Trator
4118,Mizuki Inoue,
4120,Koji Oishi,
4129,Oskar Piechota,Imadło
4132,Piotr Hallmann,Płetwal
4133,Bojan Veličković,Serbian Steel
4134,Krzysztof Jotko,
4142,João Zeferino,The Brazilian Samurai
4151,Cortney Casey,Cast Iron
4159,Billy Quarantillo,
4165,Diego Ferreira,
4166,Alp Ozkilic,The Turkish Delight
4176,Chris Gruetzemacher,Gritz
4178,Cyril Asker,Silverback
4183,Sergey Khandozhko,Honda
4187,William Macário,Patolino
4188,Nikita Krylov,The Miner
4189,Mateusz Gamrot,Gamer
4195,Viscardi Andrade,
4201,Jéssica Andrade,Bate Estaca
4210,Dan Moret,The Hitman
4213,Zak Ottow,The Barbarian
4217,Nad Narimani,Smiler
4218,Arnold Allen,Almighty
4232,Lewis Gonzalez,Lethal
4236,Ricky Turcios,
4242,Paddy Pimblett,The Baddy
4249,Marcin Wrzosek,The Polish Zombie
4254,Ali Bagautinov,Puncher
4266,Daniel Omielańczuk,
4267,Hans Stringer,
4271,José Maria Tomé,No Chance
4289,Brian Houston,B-Hue
4290,Brian Ortega,T-City
4292,Justine Kish,The Machine
4294,James Moontasri,Moonwalker
4315,Ion Cutelaba,The Hulk
4322,Edimilson Souza,Kevin
4323,Elias Silvério,Xuxu
4324,Ivan Jorge,Batman
4340,Charles Radtke,Chuck Buffalo
4341,Lando Vannata,Groovy
4346,Igor Araújo,
4347,Alan Patrick,Nuguette
4348,Garett Whiteley,Goodnight
4366,Martin Svensson,
4380,Tom Niinimaki,Stoneface
4382,Mads Burnell,
4385,Andreas Stahl,Real Steel
4389,Mark Madsen,The Olympian
4395,Austin Springer,
4401,Cain Carrizosa,The Insane
4409,Cameron Else,Camchida
4412,Kyoji Horiguchi,
4414,Omari Akhmedov,Wolverine
4415,Santiago Ponzinibbio,Argentine Dagger
4422,Cole Williams,
4438,Henry Cejudo,Triple C
4444,Ashlee Evans-Smith,Rebel Girl
4466,Andre Fili,Touchy
4468,Robert Whiteford,The Hammer
4473,Volkan Oezdemir,No Time
4475,Luis Saldaña,
4476,Johnny Case,Hollywood
4478,Michael McBride,
4482,Darrick Minner,
4513,Francisco Trevino,
4521,Raoni Barcelos,
4551,Kiichi Kunimoto,Strasser
4553,Bethe Correia,Pitbull
4554,Alex Garcia,The Dominican Nightmare
4555,Justin Scoggins,Tank
4556,Richie Vaculik,Vas
4557,Peggy Morgan,Daywalker
4562,Jon Delos Reyes,The Heat
4563,Will Chope,The Kill
4564,Dave Galera,Scarecrow
4565,Royston Wee,
4567,Ben Wall,Manimal
4581,Nina Nunes,The Strina
4584,Tae Hyun Bang,The Supernatural
4589,Damien Brown,Beatdown
4595,Dequan Townsend,The Tarantula
4608,Leon Edwards,Rocky
4633,Beneil Dariush,Benny
4634,Louis Smolka,Da Last Samurai
4635,Sean O'Connell,The Real OC
4640,Aleksei Oleinik,The Boa Constrictor
4643,Kevin Lee,Motown Phenom
4644,Andy Enz,Tank Mode
4645,Anthony Rocco Martin,
4646,Gasan Umalatov,Cobra
4647,Zubaira Tukhugov,Warrior
4648,Claudio Silva,Hannibal
4649,Yui Chul Nam,The Korean Bulldozer
4650,Mehdi Baghdad,The Sultan
4653,Randa Markos,Quiet Storm
4655,Boston Salmon,Boom Boom
4660,George Sullivan,The Silencer
4664,Kamaru Usman,Nigerian Nightmare
4665,Trevin Giles,The Problem
4670,Albert Tumenov,Einstein
4688,Aljamain Sterling,Funk Master
4689,Ernest Chavez,The Mad Titan
4690,Yosdenis Cedeno,Pink Panther
4699,Guangyou Ning,Smasher
4700,Jianping Yang,Tiger
4701,Alberto Mina,Soldier of God
4702,Albert Cheng,
4703,Anying Wang,Smiley
4704,Zhumabek Tursyn,The Snow Leopard
4705,Mark Eddiva,
4710,Alan Omer,Mr. Erbil
4712,Lipeng Zhang,The Warrior
4713,Sai Wang,The Fire Kylin
4724,Abdul Razak Alhassan,Judo Thunder
4725,Chris Gutierrez,El Guapo
4726,Andrew Sanchez,El Dirte
4727,Chris Heatherly,Stump
4733,Sean Strickland,Tarzan
4735,Herbert Burns,The Blaze
4736,Ruan Potts,Fangzz
4737,Noad Lahat,Neo
4747,Gilbert Burns,Durinho
4762,Damir Hadžović,The Bosnian Bomber
4799,Tim Gorman,The Psycho
4805,Benito Lopez,The Golden Boy
4809,Ray Borg,The Tazmexican Devil
4817,Nick Hein,Sergeant
4818,Paweł Pawlak,Plastinho
4820,Makwan Amirkhani,Mr. Finland
4826,Teemu Packalén,Pacu
4841,Olivier Aubin-Mercier,The Canadian Gangster
4842,Mike De La Torre,El Cucuy
4843,Vik Grujic,The Spartan
4844,Chris Indich,The Savage
4845,Richard Walsh,Filthy
4846,Alex White,The Spartan
4847,Hernani Perpétuo,
4848,Jack May,The Outlaw
4857,Chris Beal,The Real Deal
4858,Patrick Williams,The Animal
4877,Jingliang Li,The Leech
4879,Ruslan Magomedov,Leopard
4880,Viktor Pešta,
4881,Michinori Tanaka,
4886,Chris Kelades,The Greek Assassin
4905,Aaron Phillips,The Dragon
4906,David Michaud,Bulldawg
4907,Niklas Bäckström,King in the North
4909,Guilherme Bomba,
4910,Alexis Dufresne,Sneaky Zebra
4922,Antônio Carlos Júnior,Cara de Sapato
4923,Marcio Alexandre Jr.,Lyoto
4924,Warlley Alves,
4925,Richardson Moreira,Rick Monstro
4926,Ricardo Abreu,Demente
4927,Wagner Silva,Wagnão
4930,Justin Jones,Lazy Bones
4935,Khalil Rountree Jr.,The War Horse
4939,Joanna Jędrzejczyk,
4945,Milana Dudieva,
4946,Valérie Létourneau,Trouble
4948,Darren Stewart,The Dentist
4952,Adrian Yanez,
4964,Elizabeth Phillips,
4965,Caio Machado,Bigfoot
4970,Tony Kelley,PrimeTime
4975,Timur Valiev,Lucky
4976,Justin Jaynes,Guitar Hero
4977,Dashon Johnson,Fly Boy
4978,Jake Matthews,The Celtic Kid
4979,Dan Hooker,The Hangman
4982,Bryan Barberena,Bam Bam
4983,Valmir Lázaro,Bidu
4984,Rob Font,
4988,Dmitriy Sosnovskiy,The Wicked Machine
4990,Tina Lähdemäki,Jellybean
4992,Rodrigo de Lima,Monstro
5003,Juan Manuel Puig,Fenix
5004,Keith Berish,Sha Bang Bang
5008,Corey Anderson,Overtime
5009,Eddie Gordon,Truck
5010,Pat Walsh,
5015,Chris Dempsey,
5016,Juliana Lima,Ju Thai
5019,Akbarh Arreola,El Caballero
5020,Tiago Trator,
5023,Josh Copeland,Cuddly Bear
5026,Marion Reneau,The Belizean Bruiser
5028,Eric Shelton,Showtime
5034,Matt Sayles,Robo
5046,Brendan O'Reilly,Badger
5048,Ulka Sasaki,
5049,Colby Covington,Chaos
5051,Zhikui Yao,The Conqueror
5059,Frankie Saenz,
5060,Nolan Ticman,
5061,Marcin Bandel,Bomba
5070,Steve Montgomery,The Creepy Weasel
5071,Christos Giagos,The Spartan
5076,Shinsho Anzai,Animal
5077,Clay Collard,Cassius
5093,Irene Aldana,
5094,DeAnna Bennett,Vitamin D
5096,Alexa Grasso,
5098,JJ Aldrich,
5099,Jinh Yu Frey,
5113,Łukasz Sajewski,Wookie
5114,Wendell Oliveira,The Machine
5115,Larissa Pacheco,
5116,Paul Felder,The Irish Dragon
5117,Matt Dwyer,
5118,Alexandre Pantoja,The Cannibal
5128,Frankie Perez,
5133,Katlyn Cerminara,Blonde Fighter
5164,Taylor Lapilus,Double Impact
5168,Shane Campbell,Shaolin
5175,Charles Rosa,Boston Strong
5181,Roman Salazar,El Gallito
5188,JC Cottrell,Superstar
5193,Andreas Michailidis,The Spartan
5195,Hakeem Dawodu,Mean
5200,Carl Deaton III,The Anishinaabe Kid
5202,Jordan Griffin,Native Psycho
5221,Cody East,The Bullet Train
5222,Jordan Espinosa,The Gamer
5229,Davi Ramos,The Tasmanian Devil
5230,Kailin Curran,
5231,Doo Ho Choi,The Korean Superboy
5236,Daniel Kelly,
5237,Augusto Montaño,Dodger
5242,Mike Graves,
5260,Andrea Lee,KGB
5262,Jamie Moyle,Love Boat
5279,Diego Rivas,Pitbull
5280,Rodolfo Rubio,Fito
5289,Alejandro Perez,Turbo
5290,Jose Alberto Quiñonez,El Teco
5291,Leonardo Morales,Chimmy
5292,Yair Rodriguez,El Pantera
5293,Guido Cannetti,Ninja
5294,Henry Briones,King
5295,Gabriel Benítez,Moggly
5296,Augusto Mendes,Tanquinho
5298,Geoff Neal,Handz of Steel
5306,Pannie Kianzad,BANZAI
5309,Nathaniel Wood,The Prospect
5310,Anna Elmose,Panda
5311,Molly McCann,Meatball
5314,Kalindra Faria,
5316,Marco Beltran,Psycho
5317,Marlon Vera,Chito
5318,Alexander Torres,Rolo
5319,Masio Fullen,El Lobo
5320,Bentley Syler,Dr. Bolivia
5321,Fredy Serrano,El Profe
5332,Matt Frevola,The Steamrolla
5333,Jared Cannonier,Killa Gorilla
5334,Cindy Dandois,Battlecat
5338,Rachael Ostovich,
5342,Jonathan Wilson,Johnny Bravo
5347,David Zawada,Sagat
5348,Angela Hill,Overkill
5349,Alex Chambers,Astro Girl
5350,Seo Hee Ham,Hamderlei Silva
5361,Willie Gates,Whoop Ass
5362,Sheymon Moraes,
5368,Cody Garbrandt,No Love
5373,Miles Johns,Chapo
5374,Curtis Millender,Curtious
5375,Konstantin Erokhin,The Russian Bear
5378,Dominic Waters,Sho Nuff
5381,Chris Avila,
5383,Joseph Morales,Bopo
5388,Renato Moicano,Money Moicano
5389,Antônio dos Santos Jr.,Junior Alpha
5411,Roberto Sanchez,LittleFury
5416,Tony Christodoulou,
5418,Douglas Silva de Andrade,D'Silva
5424,Albert Morales,The Belizean Warrior
5444,Jared Gooden,NiteTrain
5451,Terrion Ware,Flash
5456,Christian Aguilera,The Beast
5459,Tim Johnson,
5460,Cody Pfister,The Pfist
5464,Aspen Ladd,
5472,Garreth McLellan,Soldier Boy
5475,Valentina Shevchenko,Bullet
5477,Ricardo Ramos,Carcacinha
5499,Levan Makashvili,The Hornet
5501,Carlos Hernandez,
5511,Roger Zapata,Viva
5527,Maryna Moroz,Iron Lady
5528,Rocky Lee,
5529,Jarjis Danho,Man Mountain
5531,Thibault Gouti,GT
5540,Izabela Badurek,
5541,Islam Makhachev,
5542,Leo Kuntz,The Lion
5547,Alex Oliveira,Cowboy
5548,Rashad Coulter,Daywalker
5554,Mark Striegl,Mugen
5555,Bartosz Fabiński,The Butcher
5571,Devin Clark,Brown Bear
5580,Livinha Souza,The Brazilian Gangsta
5587,Sijara Eubanks,Sarj
5590,Mickael Lebout,Ragnar
5593,Damian Stasiak,Webster
5597,Jonavin Webb,The Spider
5606,Steve Bossé,The Boss
5610,Magomed Mustafaev,The Sniper
5633,Ericka Almeida,
5649,Darren Till,The Gorilla
5660,Magomed Bibulatov,Chaborz
5684,Steven Kennedy,The Steamrolla
5685,Khama Worthy,The Death Star
5689,Eric Spicely,Zebrinha
5696,Sage Northcutt,Super
5707,Jessica-Rose Clark,Jessy Jess
5711,Jason Witt,The Vanilla Gorilla
5712,Phil Hawes,No Hype
5714,Joey Merritt,Slash
5715,Tony Sims,2.0
5719,Fernando Bruno,Açougueiro
5720,Glaico França,Brazilian Zombie
5721,Dileno Lopes,
5722,Reginaldo Vieira,
5727,Andrew Holbrook,
5729,Geane Herrera,The Revolutionary
5731,Bobby Moffett,The Wolfman
5732,Curtis Blaydes,Razor
5741,Misha Cirkunov,
5744,Vicente Luque,The Silent Assassin
5746,Abubakar Nurmagomedov,
5753,Cory Hendricks,
5755,Oluwale Bamgbose,Holy War Angel
5756,Joaquim Silva,Netto BJJ
5779,Jason Novelli,Pepsi
5780,Ricky Simón,
5784,Trey Ogden,Shamurai
5790,Megan Anderson,
5793,Yusuke Kasuya,
5809,Pedro Falcão,Pedrinho
5818,Irwin Rivera,The Beast
5832,Muin Gafurov,Tajik
5841,Grant Dawson,KGD
5842,Chance Rencountre,Black Eagle
5847,Francis NGannou,The Predator
5868,Jason Knight,The Kid
5880,Kamuela Kirk,The Jawaiian
5881,Teruto Ishihara,Yashabo
5910,Kevin Holland,Trailblazer
5922,Bruno Korea,
5923,Matheus Nicolau,
5931,Ariel Beck,Sunshine
5932,Jonathan Martinez,Dragon
5957,Darrell Horcher,The Saint
5961,Alonzo Menifield,Atomic
5966,Felipe Olivieri,
5970,Anton Zafir,The Professor
5984,Enrique Marín,Wasabi
5985,Erick Montaño,Perry
5986,Enrique Barzola,El Fuerte
5987,Horacio Gutiérrez,Punisher
5988,Álvaro Herrera,Chango
5989,Vernon Ramos,
5990,Cesar Arzamendia,Goku
5994,Chase Sherman,The Vanilla Gorilla
5996,Jose Torres,Shorty
5998,Julian Marquez,The Cuban Missile Crisis
5999,Brian Camozzi,The Mantis
6020,Chris Curtis,The Action Man
6023,Joey Gomez,KO King
6025,Kyle Bochniak,Crash
6029,Manny Bermudez,The Bermudez Triangle
6030,Mike Rodriguez,Slow
6036,Kelly Faszholz,
6038,Daniel Santos,Willycat
6053,Ariane Lipski da Silva,Queen of Violence
6058,Jiří Procházka,BJP
6071,Shamil Gamzatov,Maverick
6073,Giga Chikadze,Ninja
6081,Antonio Trócoli,Malvado
6087,Abner Lloveras,Skullman
6088,Julian Erosa,Juicy J
6089,Ryan Hall,The Wizard
6092,Anthony Hernandez,Fluffy
6093,Chris Padilla,Taco
6102,Shamil Abdurakhimov,Abrek
6105,David Teymur,
6115,Kron Gracie,
6127,Cory Sandhagen,Sandman
6135,Bryce Mitchell,Thug Nasty
6139,Randy Brown,Rudeboy
6140,Alex Nicholson,The Spartan
6149,Thiago Moisés,
6162,Mickey Gall,
6170,Andre Fialho,
6172,Danilo Belluardo,Caterpillar
6182,Mike Jackson,The Truth
6190,Andre Soukhamthath,The Asian Sensation
6191,Bojan Mihajlović,
6198,Anthony Ivy,Aquaman
6200,Marcin Tybura,Tybur
6203,Brendan Allen,All In
6204,Alessio Di Chirico,Manzo
6210,CM Punk,
6218,Mara Borella,Maravilla
6228,Filip Pejić,Nitro
6231,Anderson dos Santos,Berinja
6233,Austin Arnett,Golden Boy
6239,Kris Moutinho,
6243,Leonardo Guimarães,Leleco
6254,Tom Duquesnoy,Fire Kid
6266,Carlos Candelario,The Cannon
6269,Cristina Stanciu,Barbie
6296,Ian Heinisch,The Hurricane
6299,Maki Pitolo,Coconut Bombz
6302,Adam Milstead,The Prototype
6303,Chris De La Rocha,
6310,Matthew Lopez,
6313,Jay Perrin,The Joker
6316,Vince Morales,Vandetta
6324,Luis Henrique Barbosa,KLB
6332,Alberto Uda,
6346,Marcin Prachnio,
6354,Rolando Dy,The Incredible
6369,Justin Willis,Big Pretty
6383,Miguel Baeza,Caramel Thunder
6384,Luan Chagas,Tarzan
6405,Josh Emmett,CC0
6409,Jack Shore,Tank
6415,Merab Dvalishvili,The Machine
6427,James Mulheron,The Juggernaut
6435,Devin Powell,
6448,Dan Ige,50k
6458,Joaquin Buckley,New Mansa
6469,Sarah Alpar,Too Sweet
6472,Preston Parsons,Pressure
6475,Jamall Emmers,Pretty Boy
6479,Jason Gonzalez,Nicoyas
6488,Mackenzie Dern,
6500,Jessin Ayari,Abacus
6502,Jonathan Meunier,District
6534,Emily Ducote,Gordinha
6541,Marvin Vettori,The Italian Dream
6544,Tatiana Suarez,
6545,Amanda Cooper,ABC
6562,Sodiq Yusuff,Super
6565,Hector Sandoval,Kid Alex
6568,Felipe Silva,
6570,Ryan Janes,
6581,Max Griffin,Pain
6582,Jeremy Kennedy,JBC
6583,Danielle Taylor,Dynamite
6585,Ketlen Vieira,Fenômeno
6587,Gabe Green,Gifted
6596,Mike Perry,Platinum
6618,Maurice Greene,The Crochet Boss
6622,Veronica Hardy,
6633,Mark De La Rosa,The Bumblebee
6662,Marc Diakiese,Bonecrusher
6665,Jenel Lausa,The Demolition Man
6667,Elizeu Zaleski,Capoeira
6675,Kanako Murata,
6679,Polo Reyes,El Toro
6681,Brandon Moreno,The Assassin Baby
6682,Gadzhimurad Antigulov,
